url,complaint
"https://www.sikayetvar.com/vodafone/vodafone-gb-avi-servisi-iptal-etme
",Vodafone menüsündeki GB avı menüsüne bakmak için girdim. Yanlışlıkla üye oldum. Alnında 135 lira para alındı mesajı geldi. Anında üyelikten çıktığım halde bir aylık kesinti yapılacaktır. Mesajı geldi. Yanlışlıkla girdim bu menüden alınan bu paranın tarafıma iadesini talep ediyorum ve iptal edilmesini istiyorum
"https://www.sikayetvar.com/vodafone/vodafone-kendi-kafasina-gore-taahhut-degisikligi-yapiyor
",Vodafone onay vermediğim halde taahhüdümü değiştirdi. Şikayetimi müşteri hizmetlerine ilettim geri dönüş sağlamadılar 3 ay farklı fiyat 9 ay farklı fiyat kullanacakmışım ve bunu başta bana söyleyip onayımı almadılar. Şikayetçiyim geri dönüş bekliyorum!
"https://www.sikayetvar.com/vodafone/vodafone-faturamdaki-asiri-fiyat-artisi
",Uzun yıllardır müşterisi olduğum Vodafone hattımın faturalı tarifesinde son 2 aydır %400. Lük bir artış yasamama rağmen tarafıma uygun bir tarife sunulmamış veya sunulan tarifelerde daha astronomik fiyatlar teklif edilmiştir. Yasadığım mağduriyetin ve tekliflerin tekrar düzenlenerek tarafıma ivedi çözüm üretilmesini arz ederim...
"https://www.sikayetvar.com/vodafone/vodafone-mecburi-taahhut-degisikligi
","2 Mayıs 2024 tarihinde Vodafone müşteri merkezi tarafından arandım, Kullanmış olduğum telefon tarifemin bittiğini söyledi. Ben de Ocak ayı içinde ilk 3 ay 119 TL, sonraki 9 ay 179 TL olarak yeni taahhüt yaptığımı söyledim. Müşteri temsilcisi hayır taahhüdün olmadığını ve bu aydan itibaren aylık faturamın 500 küsur olacağını iletti. Hemen kapatmak istiyorum dediğimde cayma bedeli çıkacağını ve bununda 1050 TL olacağını bildirdi. Sonuç olarak mecburen (tehditle ) yeni taahhüt yaptırdı. İş çıkışı ocak ayında taahhüt yaptığım bayiye gittim, normalde taahhüdümün bitmediğini söyleyip seni yeni paket almaya zorlamışlar dediler. Bunun üzerine Vodafone müşteri hizmetlerini aradım, ses kaydımın dinlenmesi talebini alıp 72 saat içinde aranacağımı söyledi. Az önce arandım sesiniz gelmiyor deyip kapattı. Sonuç olarak önceki taahhüdüme geri dönülmesini istiyorum."
"https://www.sikayetvar.com/vodafone/vodafone-carkim-cevrilmiyor-lutfen-cozum
","Merhaba sayın Vodafone, lütfen paketim olmasına rağmen bir hafta oldu ve hala çarkım çevrilmemiş durumda. Lütfen bir çözüm bulun, aksi takdirde hizmetinizden çıkmak durumunda kalacağım. Geçen hafta da paketim olmasına rağmen yine aynı sorunla karşılaştım; çarkım çevrilmemişti. Bazen bu duruma ihtiyacımız oluyor. Bunun nedeni nedir acaba? Lütfen bir çözüm bulun. Teşekkürler."
"https://www.sikayetvar.com/vodafone/alacagim-var-ama-vodafone-vermiyor-gosteriyor-ama-vermiyor
","Vodafone'dan 300 TL alacağım bulunuyor; ancak hatalı işlemler sebebiyle alacak gözükmesine rağmen IBAN'ı kabul etmiyorsunuz. Bu IBAN ile daha önce işlem yapıldığı için hata mesajı alıyorum. Daha önce de sizin hatanız yüzünden 3600 TL almıştım, ancak 6 ay sonra para değer kaybettiği için şimdi de 300 TL alacağım var fakat alamıyorum. Öncelikle büyük meblağlarla sorun yaşatıp ardından 'hata yaptık, 200-300 TL alabilirsiniz' diyerek bu tutarı da ödemiyorsunuz. Konu mahkemeye taşınabilir."
"https://www.sikayetvar.com/vodafone/vodafone-carkim-kolay-paketim-ve-bakiyem-olmasina-ragmen-donmuyor
","Merhaba benim iki haftadır paketim yüklü olmasına rağmen her hediye çarkını çevirmek için girdiğimde lütfen 28 gün içinde paket yükleyin diyor. Uygulamayı silip tekrar yükledim, hesaptan çıkış yapıp girdim fakat işe yaramadı. Yardımcı olursanız sevinirim."
"https://www.sikayetvar.com/vodafone/vodafone-yanimda-degil-calisanlari-da-bize-hizmet-etmiyor
","Fiziksel sim kartımla Amerika'ya geldim. Burada telefonumu değiştirdim. Yeni telefonum iPhone 15 Pro max ve fiziksel sim özelliği bulunmuyor. Müşteri temsilcisini arayarak bu konuda destek istedim. Ancak Vodafone markası, e-sim talebimi karşılamıyor."
"https://www.sikayetvar.com/vodafone/vodafone-hicbir-yerde-cekmeyen-operator-1
",Vodafone'dan artık ayrılıyorum sistemi gerçekten inanılmaz kötü bir hale getirdiler eskiden iyi kötü şebeke çekerdi ve idare ederdik ama şu aralar ciddi anlamda operatörde şebeke problemi var. İnternette sörf yapmayı geçtim telefonla bile konuşulmuyor.
"https://www.sikayetvar.com/vodafone/vodafone-mobil-numaram-kullanilarak-yapilan-haksiz-alisveris
","Bir onay mesajı aldım, ancak WhatsApp'tan kullandığım numara Türk Telekom olmasına rağmen Vodafone'dan 1170 liralık alışveriş yapılmış. Bu durum nasıl mümkün olabilir? Vodafone nasıl önlem almaz? CİMER'e şikayet edeceğim. Arıyorum, 'yapacak bir şey yok' diyorlar. Ürün alışverişlerinde iptal işlemi nasıl olmaz? Şirket kendi sorunlarıyla ilgilensin."
"https://www.sikayetvar.com/vodafone/vodafone-taahhut-islemleri-hk
","Vodafone firmasından aldığım hizmet devam etmekteyken, 'Yanımda' uygulamasından 12 ay kalma sözü karşılığında paketimi 300 TL karşılığında yükselttim. Yükselttikten bir dakika sonra fark ettim ki mevcut tarifem Eylül ayında sona eriyor. Müşteri hizmetlerini arayıp iptal etmek istediğimi belirttim. Ancak bir dakika geçtiği için işlemi geri alamayacaklarını, mevcut tarifeyi kullanmam gerektiğini ya da cayma bedeli olarak 323 TL ödemem gerektiğini söylediler. Bu durum kabul edilemez. Her insan yanılabilir; ancak bu şekilde bir kurumsal anlayışın olmaması gerekir. Şimdi cayma hakkımı kullanarak Vodafone'dan ayrılacağım ve daha fazla ücret ödeyerek farklı bir operatöre geçeceğim. Bu durumun yaşanması üzücü."
"https://www.sikayetvar.com/vodafone/vodafone-taahhudum-bitiyor-uygun-tarife-verilmiyor
",0533*******55 Yıllardır Vodafone kullanıcısıyım mayıs sonunda taahhüdüm bitiyor. Müşteri temsilcisi tarafında arandığımda mevcut tarifem 490 TL'ye çıkarılıyor bu ücret çok fazla daha düşük fiyattan kullananlar var. Tarafıma daha uygun teklifler verilmesini istiyorum.
"https://www.sikayetvar.com/vodafone/vodafone-taahhut-sorunu-anlasilmazligi
",Vodafone faturasızdan faturalıya geçtim bu 3. Ayındayım ve uygulamada baktığımda taahhüdünüz 31.05.2024 tarihinde sona erer diyor. Üstelik geçebileceğim tarifelerde hiçbir şey yok bugün Müşteri hizmetlerini aradım konu ile ilgili bilgi almak için yardımcı olunmadı. 1. Dönem kampanyanız son ayındasınız dendi ve bende gelecek ay için faturamın artıp artmayacağını sordum o belli olmaz dendi bu konuya bir açıklık getirilmesini istiyorum. Tarifemin 2. Döneminde fahiş ücretlerle karşılaşmak istemiyorum.
"https://www.sikayetvar.com/vodafone/vodafone-yanlis-tarife-uygulandi-2
",Ben Türk Telekom'dan Vodafone faturalı geçiş yaptım. 345 TL ücreti ile 40gb genç tarifesini istedim ancak bana 20 GB tanımlanmış. Defalarca arayıp belirtmeme rağmen hala sorun çözülmedi. Bana geri dönüş sağlanmadı. Aranacaksınız dendi sorun bizden kaynaklı denildi arayan çözüm sunan olmadı. Sorunun çözülmesini istiyorum. Pişman oldum geçiş yaptığıma
"https://www.sikayetvar.com/vodafone/vodafone-uygun-tarife-degisikligi-6
","Vodafone Tarifemin taahhüt’ünün bitmesine 7 gün kala, benden geçmem istenen kampanyaların, fiyatı çok yüksek ve bütçeme uygun değil. 263 TL olan tarifem 430 TL olacak bütçeme uygun bir kampanyanın bana uygulanmasını istiyorum, yetkililerden çözüm önerisi"
