Phrase,Label
ses kalitesi ve ergonomisi rezalet sony oldugu icin aldim ama de  fiyatina cin replika urun alsaydim cok cok daha iyiydi kesinlikle tavsiye etmiyorum,Olumsuz
hizli teslimat tesekkurler,Tarafsız
ses olayi supergece calistir sikinti yokkablo uzun isinizi cok rahat ettirircekme olayi son derece guzel iciniz rahat olsundigerlerini saymiyorum bile,Olumlu
geldi bigun kullandik hemen bozoldu hictavsiye etmem,Olumsuz
Kulakligin sesi kaliteli falan degil Aleti ove ove bitiremeyen yorumlar supheli Tizler yok gibi ve olan da boguk cikiyor Bas kaba saba ben buradayim diyor ama kalite yok Iyi ses arayanlara tavsiye etmem Hayatimda aldigim ilk Snopy marka urundu onu da bazi yorumlara guvenerek aldim ve pisman oldum Hepsiburadanin sahte yorumlara karsi onlem almasi gerekiyor artik,Olumsuz
Giris seviyesindeki kullanicilar icin kabul edilebilir sonuclar veren bir lens fokus motoru ve makro cekimleri kaliteli sonuclar veriyor Sunu da belirtmek lazim ki belli bir sure kullandiktan sonra daha kaliteli bir lens ihtiyaci hissedeceksiniz,Tarafsız
kullanisli baya,Olumlu
Dezavantajlar  Pahali urunbr Merhabalar bu lens baska yerlerde  tl ile  tl arasi satiliyor neden Mediamarkta pahali fiyat dusururseniz sizden alacagim,Tarafsız
URUN GUZEL BU PARALARA BASKA BULAMAZSINIZ,Tarafsız
Tasarim ve kalite iyi olmasina ragmen yazma hizi oldukca dusuk kaliyor,Tarafsız
Cok degil cekim gucu az oldugu icin  puan,Tarafsız
Iki kere aldim ikisindede gelen jole kutusu kirilmis ve icinde jole paketin icine yayilmistisorun aras kargo ise baska kargo sirketi ile gonderin,Olumsuz
"Klavye tuslari basmakla basmamak arasinda kaliyor Mouse ara sira
takilma yapiyor Baska da bir sey yok",Tarafsız
WPA ile sorun yasayanlar eger masaustu bilgisayarini kablosuz ag adaptoru ile kablosuz modeme baglanmaya calisiyorsa ag adaptorunun ozelliklerinden Ag Baglantilarimdan kablosuz ag adaptorune sag tiklayip ozellikler menusunden guvenlik bolumunden sifrelemeyi WPAPSK secmeliler,Olumsuz
"Urun pompasiz geliyor Onun disinda guzel urun Pompasi olmadigi icin 
yildiz kirdim Magaza urunu zamaninda gonderdiurun iyi paketlenmisti",Tarafsız
bu urunu gecen sene almistim cok fazla kullanmamama ragmen orta isiticisi bozuldu tavsiye etmem,Olumsuz
Mukemmel bir urun kesinlikle alin,Olumlu
Urunu genellikle oyun oynayan oglum icin aldim SD kart takilabildigi icin hafizayi artirabilecegimi dusunmustum Bu nedenle urunle birlikte  GB de hafiza karti aldim Ancak urunu kullandikca gordum ki hafiza karti pratikte pek bir ise yaramiyor Soyle ki android uygulamalarin hemen hemen hepsi kurulumda oncelikle telefon hafizasina kuruluyor Tabletin ayarlar kisminda uygulama tasi diye bir ozellik var ama yine android uygulamalarinin buyuk cogunlugu hafiza karta tasinamiyor  GB hafizaniz doldugundaki cok cabuk doluyor yeni uygulama yuklemek icin eskilerden silmeniz gerekiyor Ozet olarak  GB kart takinca cihaz otomatikman  GB olmuyor O sekilde yapabilmek icin urune root yapmaniz gerekiyor Benim icin hafiza onemliydi ve bu nedenle de urunu iade ettim Tesekkurler hepsiburadacom,Olumsuz
Telefonu bir suredir kullaniyorum Uzerinde bir cizik bilek olmamasina ragmen konusurken ekran karardi Yetkili servis iceriden ekran catlamis garanti disi dedi Nasil oldu anlamadim Hicbir hasar yok darbe yok gorunmeyen bir yerde ekran catliyor ilginc,Olumsuz
"Berbat bir dizayn Her yerinde aciklik var aldigi havanini yarisini
iceri verir Berbat kotu",Olumsuz
Cok hizli bir sekilde elime geldi akabinde evet oldukca sesli ama elektrik supurgesi kadar iyi cekim gucu var pratik tavsiye ederim,Tarafsız
tost yaparken kasar peynirini tam eritmiyor,Olumsuz
"Arkadaslar urun cok guzel ve de sessiz calisiyoKargo hizliydi fakat ben
kargoyu takip edemedimCeva Lojistikonun disinda bi sikinti yokMagaza
da guvenilir bu arada",Olumlu
Indirimdeyken almistik gayet kullanisli guclu bir urun,Olumlu
