Görüş,Sentiment_Label
"s kalitesi ergonomisi rezalet, sony olduğu aldım 4'de 1 fiyatına çin replika ürün alsaydım iyiydi, kesinlikle tavsiye etmiyorum.",tarafsız
hizli teslimat tesekkürler,tarafsız
s olayı süper....gece çalıştır sıkıntı yok.....kablo uzun işinizi rahat ettirir.....çekme olayı son derece güzel içiniz rahat olsun......diğerlerini saymıyorum bile.....,tarafsız
geldi bigün kullandık hemen bozoldu hiçtavsiye. etmem,tarafsız
"kulaklığın sesi kaliteli falan değil. aleti öve öve bitiremeyen yorumlar şüpheli. tizler yok olan boğuk çıkıyor. bas, kaba saba, ben buradayım diyor kalite yok. i̇yi s arayanlara tavsiye etmem. hayatımda aldığım ilk snopy marka üründü, onu yorumlara güvenerek aldım pişman oldum. hepsiburada'nın sahte yorumlara karşı önlem alması gerekiyor artık.",tarafsız
"giriş seviyesindeki kullanıcılar kabul edilebilir sonuçlar veren bir lens, fokus motoru makro çekimleri kaliteli sonuçlar veriyor. şunu belirtmek lazım belli bir süre kullandıktan sonra kaliteli bir lens ihtiyacı hissedeceksiniz.",tarafsız
kullanisli baya,tarafsız
dezavantajlar : pahalı ürün<br />merhabalar lens başka yerlerde 327 tl 389 tl arası satılıyor mediamarkta pahalı fiyat düşürürseniz sizden alacağım,tarafsız
ürün güzel paralara başka bulamazsiniz,tarafsız
tasarım kalite iyi olmasına rağmen yazma hızı oldukça düşük kalıyor.,tarafsız
değil çekim gücü olduğu 3 puan,tarafsız
i̇ki kere aldım ikisindede gelen jöle kutusu kırılmış içinde jöle paketin içine yayılmıştı.sorun ara kargo başka kargo şirketi gönderin..,tarafsız
klavye tuşları basmakla basmamak arasında kalıyor. mouse ara sıra takılma yapıyor. başka bir yok.,tarafsız
"wpa2 sorun yaşayanlar masaüstü bilgisayarını kablosuz ağ adaptörü kablosuz modeme bağlanmaya çalışıyorsa ağ adaptörünün özelliklerinden (ağ bağlantılarımdan kablosuz ağ adaptörüne sağ tıklayıp, özellikler menüsünden güvenlik bölümünden) şifrelemeyi wpa2-psk seçmeliler.",tarafsız
ürün pompasız geliyor. onun dışında güzel ürün. pompası olmadığı 2 yıldız kırdım. mağaza ürünü zamanında gönderdi.ürün iyi paketlenmişti.,tarafsız
ürünü geçen sene almıştım fazla kullanmamama rağmen orta ısıtıcısı bozuldu tavsiye etmem,tarafsız
mukemmel bir ürün kesinlikle alın,tarafsız
"ürünü genellikle oyun oynayan oğlum aldım. sd kart takılabildiği hafızayı artırabileceğimi düşünmüştüm. nedenle ürünle birlikte 16 gb hafıza kartı aldım. ancak ürünü kullandıkça gördüm hafıza kartı, pratikte pek bir işe yaramıyor. şöyle ki, android uygulamaların hemen hemen hepsi, kurulumda öncelikle telefon hafızasına kuruluyor. tabletin ayarlar kısmında uygulama taşı bir özellik var yine android uygulamalarının büyük çoğunluğu hafıza karta taşınamıyor. 8 gb hafızanız dolduğundaki çabuk doluyor, yeni uygulama yüklemek eskilerden silmeniz gerekiyor. özet olarak 16 gb kart takınca cihaz otomatikman 24 gb olmuyor. şekilde yapabilmek ürüne root yapmanız gerekiyor. benim hafıza önemliydi nedenle ürünü iade ettim. teşekkürler hepsiburada.com",tarafsız
"telefonu bir süredir kullanıyorum. üzerinde bir çizik bilek olmamasına rağmen, konuşurken ekran karardı. yetkili servis içeriden ekran çatlamış, garanti dışı dedi. oldu anlamadım. hiçbir hasar yok darbe yok, görünmeyen bir yerde ekran çatlıyor, ilginç.",tarafsız
"berbat bir dizayn. yerinde açıklık var, aldığı havanını yarısını içeri verir. berbat kötü.",tarafsız
hızlı bir şekilde elime geldi akabinde evet oldukça sesli elektrik süpürgesi kadar iyi çekim gücü var pratik tavsiye ederim,tarafsız
tost yaparken kasar peynirini tam eritmiyor,tarafsız
arkadaşlar ürün güzel sessiz çalışıyo.kargo hızlıydı fakat ben kargoyu takip edemedim(ceva lojistik).onun dışında bi sıkıntı yok.mağaza güvenilir arada,tarafsız
i̇ndirimdeyken almıştık gayet kullanışlı güçlü bir ürün,tarafsız
avantajlar : tasarim<br />dezavantajlar : yüksek seste açinca bi̇raz bozulma<br />çok yüksek s i̇le di̇nleni̇ldi̇ği̇nde sesi̇ bi̇raz bozuyor. di̇nleme kali̇tesi̇ni̇ olumsuz etki̇li̇yor. tabi̇ olumsuz durum di̇nledi̇ği̇ni̇z müzi̇k türüne bağli. fi̇yatindan anlaşilacaği gi̇bi̇ genel olarak orta sevi̇ye bi̇r s si̇stemi̇,tarafsız
ürünü montaj yapsalar anlayacağım ara kargo geç getirdi . ben 12 gün önce aldığım üründen hala montaj bekliyorum .,tarafsız
bileşenlerin 2000li yıllardan kalma tavsiye etmem,tarafsız
ürün sıkıntı yok fakat ücretsiz kargo olarak siparis verdik kargo ücreti aldılar uğraşmak istemiyorum. demek 3 lira mağaza değerli bir para.,tarafsız
"teşekkür ediyorum ürün güzel kargo koşa sürede ulaştı.i̇nternetten almada terettüt etmiştim sıkıntı yaşamadım, cihaz 2 yıl apple türkiye garantıli, tavsiye ederim.",tarafsız
"görüntü estetik gayet güzel, güzel iş göreceğine eminim dış malzemesi biraz kaliteli tutulabilirdi. tel maşa duruyor.",tarafsız
"guzel urun, keske gri metal renkli olsaydi sapi guzel olurdu, siyah cikti, bundan haric urun guzel. tesekkurler",tarafsız
3 yıldır kullanıyorum yok tutma yeri kırıldı yok borusu yarıldı diyenleri anlayamıyorum bir süpürme şekilleri var çözemedim . şans işi birazda.tamam biraz hassas bir makine.hassas derken sonuçta kumandalı dijital göstergeli bir tutma yeri var tv kumandasina ozen gosteyirsaniz buda öyle. süpürgenin bir üst modelini anneme aldık gece mavisi olani led'li olan.almaz olaydik berbat.. çekmiyor hassas halıya yapismiyor bile cektimi çekmedi süpürgenin yüzüne bakıyoruz kendine hayrı yok.,tarafsız
çalışma süresinin kısalığı beni şaşırttı motor gücünün zayıflığını gösterir sanırım,tarafsız
ürün fena değil renkleri bana soluk geldi.,tarafsız
ürün tam istediğim değil idare eder.pişirme süresi baya uzun oldu aynı yağla tencerede yapsanız çabuk olurdu.,tarafsız
fiyatı kullanısı cok iyi,tarafsız
