index,url,complaint
0,"https://www.sikayetvar.com/turkcell/turkcell-su-anda-isleminizi-gerceklestiriyoruz-hatasi
","Uygulamaya asla giriş yapamıyorum. Hata veriyor ve açılmıyor. Sürekli ""şu anda işleminizi gerçekleştiriyoruz"" yazısıyla karşı karşıya kalıyorum. Önbelleği temizleme, uygulamayı silip tekrar yükleme vb. Her şeyi yaptım. Nedir bunun sebebi? Yardımcı olun lütfen..."
1,"https://www.sikayetvar.com/turkcell/turkcell-mobil-uygulama-hakkinda-sikayet
","Turkcell uygulaması açılmıyor, ekranda sadece 'İşleminizi şu an gerçekleştiremiyoruz' yazısı çıkıyor ve benim paketim bitmek üzere. Eğer sürem geçerse kilometrelerce yol gitmem gerekecek paket yüklemem için. Neden bu tür sorunlar yaşanıyor? Turkcell'e yakışmıyor bu."
2,"https://www.sikayetvar.com/turkcell/turkcell-paycell-habersiz-para-cekme
","Paycell kredi kartımdan bilgim dışında para çekmiş. İadesini ve iptalini talep ediyorum. Paycell/TYG Turkey Meal olarak geçiyor. Ödeme Paycell kartı kullanmıyorum, hatta Turkcell hattı da kullanmıyorum. Bu yüzden Paycell müşteri hizmetlerine ulaşamıyorum. Mağduriyetimin giderilmesini talep ediyorum."
3,"https://www.sikayetvar.com/turkcell/turkcellden-beklenen-ucret-iadesi-ve-hizmet-sorunlari
","Turkcell yaklaşık iki aydır iade etmesi gereken ödemeyi iade etmemektedir. Kendilerinden reklam hizmeti satın aldık fakat reklam hizmeti ile ilgili başta konuşulanlar, ürün özellikleri ve vaat edilenler gerçekleşmedi. Hedef kitle ve yayın mecraları ile ilgili taleplerimizi ve olması gerekenleri defaatle ayrıntılı şekilde belirtmemize rağmen yanlış mecralarda ve yanlış hedef kitlelere reklam çıkıldığı için tüm süreç hakkında şikayetçi olduk ve ürünün iptalini ve ücretin iadesini talep ettik. İstedikleri şekilde fatura kesmemize rağmen aradan yaklaşık 2 aylık geçtiği halde hala ödeme iadesi yapılmadı. Soru soruyoruz, günler sonra yanıt alıyoruz ya da hiç almıyoruz. Niteliksiz, sorumsuz, umursamaz ve saygısız hizmet yaklaşımı Turkcell'de standart haline gelmiş. Ne zaman iade edilecek diyorum, 45 günü bulur yanıtını günler sonra alıyorum. 45 gün geçiyor, sorumu hatırlatıyorum, cevap dahi alamıyorum. Çağrı merkezini arıyorum, çözüm üretilmiyor ve dönüş yapılmıyor. Vaat ettiği fakat vermediği hizmetle süründürdüğü yetmiyormuş gibi ücret iadesi ile ilgili süründürmeye devam ediyor. Vasatlık Turkcell'de standart haline gelmiş. Ücret iadesini 60 gündür yapmadığı gibi bilgi de vermiyor."
4,"https://www.sikayetvar.com/turkcell/1turkcell-hesabima-giremiyorum
","""Dijital operatör hesabım sürekli hata veriyor. Bir paket satın almak istiyorum. Her seferinde ""işleminizi şu an gerçekleştiremiyoruz"" diyor ve sürekli aynı şey oluyor. Henüz bir paket alamadım. İnternet'e ihtiyacımız var ve mağdur oluyoruz. Bu sorun birkaç kez yaşandı. Önceki seferde düzeldi, ancak şimdi tekrar aynı sorunla karşı karşıyayız. Bir an önce düzeltilmesi gerek"
5,"https://www.sikayetvar.com/turkcell/turkcell-cekim-problemi-sorunu
","İnternet 3G ve LTE olarak hiçbir şekilde çekmiyor.
Gaziantep Şahinbey Demokrasi Bulvarı n da bir iş yerindeyim mobil internet burda hiçbir şekilde çekmiyor. Yanı başımızda da Turkcell santral var. Turkcell şehrin göbeğinde nasıl oluyor da çekmiyor. Bu durumun acil düzeltilmesini istiyorum. Yoksa Tüketici Hakları'na dava edeceğim. Ben buna vergi ödüyorum. Hizmeti şehrin göbeğinde sağlamıyorsanız nerede sağlayacaksınız. Operatör numaram 0542*****38."
6,"https://www.sikayetvar.com/turkcell/turkcell-uygulamasi-ve-gnc-uygulamasi-acilmiyor
","Turkcell uygulaması ve GNC uygulamasına hiçbir şekilde giriş yapamıyorum. Farklı farklı internete bağlanıp denedim olmuyor. Samsung Galaxy s10 telefon kullanıyorum. Denemediğin yöntem kalmadı, uygulama önbellek, verileri temizle veya kaldırıp yükledim veya telefonu kapatıp açtım ama hiçbir sonuç yok."
7,"https://www.sikayetvar.com/turkcell/turkcell-sikayet-actim-ben
","Sizden telefon aldık. Hattımı alalı 1 ay oldu. Ne zaman fatura diye gitsem, 'yarın gelecek' diyorlar. Yalan söylüyorlar. Sizi Maliye Bakanlığına şikayet ettim. Bu bayiyi T***** Bey, Halkalı Caddesi No:13, 34307 Küçükçekmece/İstanbul olarak bildirdim. Artık 'yarın gelecek' dersiniz. Turkcell."
8,"https://www.sikayetvar.com/turkcell/turkcell-beni-rahatsiz-ediyor-4
",Turkcell durmadan rahatsız ediyor. Günde en az 2-3 defa aranıyorum. Anladık kontratım bitiyor. Ama bu beni rahatsız edebileceğiniz anlamına gelmiyor. Bu şekilde devam ederseniz başka şirkete geçip hakkınızda dava açacağım. Bu kabul edilebilir bir durum değil.
9,"https://www.sikayetvar.com/turkcell/turkcell-tarife-degisikligi-yapilmadi-adina-bekliyorum
","Öncelikle, uzun yıllardır Turkcell kullanıcısı olarak ailemdeki herkes 12-13 yılı aşkın süredir aynı operatördeyiz ve bizlere sunulan kampanyalar 400-500 TL, yeni gelenlere daha ucuz. Bu mudur müşteri memnuniyeti? Yeniye ucuz, eskiye pahalı tarifeler uygulamak! Çağrı merkezi tarafından herhangi bir işlem sağlanmamaktadır. 2 hattım üzerinden taahhüt bittiği için tarife yenilemek istiyorum. Yardımcı olursanız çok sevinirim. Geri dönüşlerinizi bekliyorum. 0544********21 numaradan iletişim sağlayabilirsiniz."
